from_city,to_city,distance_miles,duration_minutes,weather,adjusted_duration_minutes
"Harrisburg, PA","Nashville, TN",719.56,640.18,Partly cloudy,640.18
"Harrisburg, PA","Salt Lake City, UT",2039.82,1796.37,Partly cloudy,1796.37
"Harrisburg, PA","Denver, CO",1628.21,1438.48,Patchy light rain with thunder,1582.3280000000002
"Harrisburg, PA","New York City, NY",170.44,170.4,Sunny,170.4
"Harrisburg, PA","Cincinnati, OH",471.2,437.0,Sunny,437.0
"Harrisburg, PA","Seattle, WA",2719.68,2380.97,Light rain,2619.067
"Harrisburg, PA","Orlando, FL",957.41,837.62,Overcast,837.62
"Harrisburg, PA","Washington, DC",119.67,132.28,Partly cloudy,132.28
"Harrisburg, PA","Detroit, MI",482.06,440.2,Sunny,440.2
"Harrisburg, PA","Houston, TX",1462.25,1280.87,Overcast,1280.87
"Harrisburg, PA","Miami, FL",1168.03,1015.48,Overcast,1015.48
"Harrisburg, PA","Baltimore, MD",79.51,80.75,Cloudy,80.75
"Harrisburg, PA","Pittsburgh, PA",203.34,196.95,Sunny,196.95
"Harrisburg, PA","Las Vegas, NV",2374.07,2077.93,Sunny,2077.93
"Harrisburg, PA","Chicago, IL",657.96,597.7,Sunny,597.7
"Harrisburg, PA","Boston, MA",383.46,369.08,Clear,369.08
"Harrisburg, PA","Boise, ID",2335.11,2042.52,Overcast,2042.52
"Harrisburg, PA","Portland, ME",482.06,453.98,Clear,453.98
"Harrisburg, PA","Portland, OR",2761.59,2423.82,Partly cloudy,2423.82
"Nashville, TN","Harrisburg, PA",719.8,637.63,Partly cloudy,637.63
"Nashville, TN","Salt Lake City, UT",1631.31,1430.13,Partly cloudy,1430.13
"Nashville, TN","Denver, CO",1159.89,1006.95,Patchy light rain with thunder,1107.6450000000002
"Nashville, TN","New York City, NY",885.79,796.42,Sunny,796.42
"Nashville, TN","Cincinnati, OH",272.47,244.87,Sunny,244.87
"Nashville, TN","Seattle, WA",2390.77,2103.28,Light rain,2313.6080000000006
"Nashville, TN","Orlando, FL",685.88,600.38,Overcast,600.38
"Nashville, TN","Washington, DC",665.83,595.63,Partly cloudy,595.63
"Nashville, TN","Detroit, MI",533.77,474.47,Sunny,474.47
"Nashville, TN","Houston, TX",778.9,711.37,Overcast,711.37
"Nashville, TN","Miami, FL",910.46,792.52,Overcast,792.52
"Nashville, TN","Baltimore, MD",703.47,629.28,Cloudy,629.28
"Nashville, TN","Pittsburgh, PA",560.35,503.33,Sunny,503.33
"Nashville, TN","Las Vegas, NV",1793.16,1544.55,Sunny,1544.55
"Nashville, TN","Chicago, IL",471.35,421.62,Sunny,421.62
"Nashville, TN","Boston, MA",1098.81,995.1,Clear,995.1
